,capacity,# Offerings,# prereqs,# prereqs prev sem,# students in prereqs,# Y1,# Y2,# Y3,# Y4,# Y5+,CSC111,CSC115,CSC225,CSC226,CSC230,CSC320,CSC360,CSC361,CSC370,ECE300,ECE310,ECE320,ECE330,ECE340,ECE360,ECE455,ECE458,ECE488,SENG265,SENG275,SENG310,SENG321,SENG371,SENG401,SENG468,SENG474,CSC355,ECE216,ECE241,ECE250,ECE255,ECE260,ECE350,ECE355,ECE356,ECE365,ECE370,ECE380,ECE399,ECE403,ECE463,SENG350,SENG360,ECE220,ECE242,ECE299,ECE410,ECE499,SENG426,SENG440,SENG499,CSC460,SENG411,SENG421,SENG435,SENG466,subjectCourse_CSC111,subjectCourse_CSC115,subjectCourse_CSC225,subjectCourse_CSC226,subjectCourse_CSC230,subjectCourse_CSC320,subjectCourse_CSC355,subjectCourse_CSC360,subjectCourse_CSC361,subjectCourse_CSC370,subjectCourse_CSC460,subjectCourse_ECE216,subjectCourse_ECE220,subjectCourse_ECE241,subjectCourse_ECE242,subjectCourse_ECE250,subjectCourse_ECE255,subjectCourse_ECE260,subjectCourse_ECE299,subjectCourse_ECE300,subjectCourse_ECE310,subjectCourse_ECE320,subjectCourse_ECE330,subjectCourse_ECE340,subjectCourse_ECE350,subjectCourse_ECE355,subjectCourse_ECE356,subjectCourse_ECE360,subjectCourse_ECE365,subjectCourse_ECE370,subjectCourse_ECE380,subjectCourse_ECE399,subjectCourse_ECE403,subjectCourse_ECE410,subjectCourse_ECE455,subjectCourse_ECE458,subjectCourse_ECE463,subjectCourse_ECE488,subjectCourse_ECE499,subjectCourse_SENG265,subjectCourse_SENG275,subjectCourse_SENG310,subjectCourse_SENG321,subjectCourse_SENG350,subjectCourse_SENG360,subjectCourse_SENG371,subjectCourse_SENG401,subjectCourse_SENG411,subjectCourse_SENG421,subjectCourse_SENG426,subjectCourse_SENG435,subjectCourse_SENG440,subjectCourse_SENG466,subjectCourse_SENG468,subjectCourse_SENG474,subjectCourse_SENG499,semester_FALL,semester_SPRING,semester_SUMMER
0,125,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,120,7,1,1,225,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,100,2,2,1,60,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,120,2,1,1,128,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,120,2,2,1,60,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,100,2,1,1,123,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,145,2,3,3,470,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,150,1,3,3,470,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,127,2,2,2,273,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,120,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
